# synthetic_train_200.txt
#
-0.6046,  0.7260,  0.9668, -0.6723,  0.1947,  0.7180
 0.9341,  0.0945,  0.9454,  0.4296,  0.3955,  0.2507
-0.9820, -0.2269, -0.9117,  0.9133, -0.1277,  0.5698
-0.8501,  0.2015, -0.6641,  0.4668, -0.1831,  0.6144
 0.0558,  0.8751,  0.0434, -0.7836, -0.6836,  0.5371
 0.2752, -0.1970,  0.2996, -0.2062,  0.2478,  0.4785
 0.5348, -0.6421, -0.2488,  0.0051,  0.3733,  0.3669
 0.2499,  0.7910, -0.2743,  0.2751, -0.6171,  0.3043
-0.0044, -0.6351,  0.8368, -0.1364,  0.6604,  0.6250
-0.1903, -0.3377,  0.1443,  0.6909,  0.7220,  0.4725
 0.1914, -0.8307,  0.1945, -0.5091,  0.4652,  0.5962
 0.2071, -0.8699,  0.0801, -0.7416,  0.2291,  0.6202
-0.2727,  0.5355, -0.9029, -0.7804,  0.3680,  0.6968
 0.6874, -0.0245,  0.6203,  0.0205,  0.8534,  0.3384
 0.3339, -0.7025, -0.2709,  0.7315, -0.2994,  0.2541
-0.2144,  0.2379, -0.1265, -0.4782, -0.1751,  0.5953
-0.1619,  0.8048,  0.9592,  0.2471, -0.8336,  0.4716
 0.6520, -0.3051, -0.8822,  0.2236, -0.7520,  0.2380
 0.5191,  0.5888, -0.1827,  0.8876, -0.6524,  0.2137
 0.5260,  0.5056,  0.9624,  0.9466, -0.9198,  0.3086
-0.9681,  0.0866, -0.9322,  0.3150,  0.0698,  0.6798
-0.4551,  0.8993,  0.4565, -0.9874, -0.8013,  0.6521
 0.2634, -0.4239, -0.1848,  0.5631, -0.2917,  0.2803
 0.1039, -0.6381, -0.1808,  0.5258,  0.9816,  0.4902
-0.8527, -0.7305,  0.4801,  0.6676, -0.8225,  0.5951
 0.3764, -0.3201, -0.1109, -0.2673,  0.6809,  0.4695
-0.3434, -0.3549,  0.8706,  0.8400,  0.9373,  0.5351
 0.7124,  0.7684,  0.2737,  0.9116, -0.6962,  0.2176
-0.5568, -0.3350, -0.4864, -0.3756, -0.7631,  0.6636
 0.0756,  0.8917, -0.1097,  0.2483,  0.2236,  0.3818
 0.8668,  0.4690,  0.6496, -0.3283,  0.8149,  0.3304
 0.4749, -0.3331,  0.7723,  0.7213, -0.6698,  0.2574
-0.5385, -0.8951,  0.7174, -0.3216, -0.2135,  0.7184
-0.0861, -0.5306,  0.1263, -0.5945,  0.0228,  0.6474
 0.8967, -0.2563,  0.9084, -0.8856,  0.0976,  0.4235
 0.8504,  0.0218,  0.5190,  0.9518,  0.4730,  0.1883
 0.9079,  0.8778, -0.0365,  0.3198, -0.6403,  0.2543
 0.1545, -0.4411, -0.7544, -0.5363, -0.7500,  0.4357
-0.5324, -0.2328, -0.9142,  0.6774, -0.1924,  0.4944
-0.7343, -0.8346, -0.6869,  0.9724, -0.7910,  0.4586
-0.1547,  0.7501,  0.1686, -0.9649,  0.7774,  0.7190
-0.3256,  0.1883, -0.9245,  0.2866,  0.2202,  0.4984
-0.5424, -0.1480, -0.6130, -0.9573,  0.1678,  0.7951
-0.6019, -0.1188,  0.3349, -0.8633, -0.2893,  0.7702
 0.3721, -0.5099, -0.2720,  0.1547, -0.1811,  0.3164
-0.6197,  0.2777, -0.1437,  0.0116,  0.3021,  0.6973
 0.8799,  0.6165, -0.7536,  0.8149,  0.3541,  0.2040
-0.0501,  0.1221,  0.1436, -0.6970, -0.2760,  0.5899
-0.1285, -0.8845,  0.4475, -0.3464, -0.0463,  0.6287
 0.1425, -0.7610,  0.5924, -0.3525, -0.7687,  0.4748
 0.4144,  0.0298, -0.9458,  0.1256,  0.5284,  0.3640
-0.4997, -0.1294, -0.8557,  0.0645,  0.8777,  0.6527
-0.3904, -0.8729,  0.6965,  0.8952, -0.0179,  0.4808
-0.6760,  0.6911, -0.1687, -0.4266,  0.1237,  0.7437
 0.7150, -0.1337, -0.8445, -0.4254, -0.4294,  0.2800
 0.1003, -0.4928,  0.4063, -0.7045, -0.8767,  0.5433
 0.2980, -0.2485, -0.0984, -0.8520, -0.0406,  0.5335
-0.9571,  0.0335, -0.0265,  0.2503,  0.7063,  0.7618
-0.0039,  0.1452,  0.0051,  0.5929,  0.8139,  0.4226
 0.3095, -0.2534,  0.6070,  0.3901, -0.0163,  0.3238
 0.1438,  0.8979,  0.2803,  0.2698, -0.2387,  0.3920
-0.3810, -0.3472,  0.3464, -0.4223, -0.8366,  0.6241
-0.4238,  0.3942,  0.0053,  0.1601,  0.2525,  0.5925
 0.6213,  0.9268,  0.3867,  0.6034,  0.5028,  0.2524
 0.8822, -0.3191, -0.3512, -0.9762, -0.8644,  0.3188
-0.7567, -0.7842,  0.0352,  0.3030,  0.6682,  0.7219
 0.1429, -0.3322,  0.4016, -0.6246, -0.3344,  0.5523
 0.0793, -0.1211, -0.5395,  0.6874, -0.2071,  0.2864
 0.8246, -0.4564,  0.2745,  0.4750, -0.6615,  0.2155
-0.8212, -0.0433, -0.8344,  0.9275,  0.6704,  0.5865
-0.5353,  0.6868,  0.4950, -0.7831, -0.4662,  0.6883
-0.3128, -0.7420, -0.0103,  0.5280,  0.0422,  0.5046
-0.6112, -0.3913,  0.5148, -0.0786,  0.5305,  0.7536
 0.5992,  0.7749, -0.4033,  0.8243,  0.1714,  0.1986
-0.4117, -0.9381,  0.3293,  0.8988,  0.1490,  0.4717
-0.0187,  0.9679, -0.1389, -0.2256, -0.0109,  0.4733
-0.5566, -0.4185,  0.6202,  0.7858, -0.2596,  0.5244
 0.4268, -0.0845,  0.9162,  0.7709, -0.0749,  0.2775
-0.6132,  0.6721,  0.7952,  0.3439,  0.6108,  0.6375
 0.6140, -0.4283, -0.6893,  0.7809,  0.5647,  0.2779
-0.2836,  0.1553, -0.5442, -0.3374,  0.3732,  0.6365
 0.3178,  0.5989, -0.6209,  0.4382,  0.9617,  0.3460
 0.8176,  0.5686,  0.7860, -0.0898, -0.3645,  0.3568
-0.9193, -0.4602,  0.1689, -0.8702, -0.8745,  0.8154
-0.2472, -0.7577, -0.1706,  0.3498, -0.0555,  0.5104
 0.8673, -0.7336, -0.8618,  0.6694,  0.6885,  0.2942
 0.8298,  0.5810,  0.6728,  0.6355, -0.9204,  0.2881
 0.1992,  0.4259,  0.9566, -0.1304, -0.8456,  0.4573
-0.8442,  0.3083, -0.8822, -0.7840,  0.7661,  0.8040
-0.0521,  0.5797, -0.0245,  0.9513,  0.5365,  0.3232
 0.2741, -0.7758,  0.4408, -0.7651, -0.7074,  0.5267
 0.1260,  0.3969,  0.6906,  0.8935, -0.8708,  0.3491
-0.9196, -0.8449,  0.9560,  0.0682, -0.2489,  0.7282
-0.2224, -0.4079,  0.3497, -0.6869,  0.9461,  0.7680
-0.9177, -0.7942, -0.6695,  0.9796, -0.4834,  0.5453
-0.2430, -0.4040,  0.4906, -0.8360, -0.9561,  0.6475
-0.1887, -0.3536, -0.8585, -0.8274,  0.0014,  0.6592
-0.6401, -0.2838,  0.3621, -0.8451, -0.6067,  0.7571
-0.8608, -0.0581,  0.0906,  0.7260, -0.9362,  0.5421
-0.1718, -0.3915,  0.9811, -0.2919,  0.8154,  0.6957
 0.9870, -0.4161, -0.6909,  0.7058, -0.9708,  0.1708
